id	name	region	coordinates	boundary_geometry	time_period_start	time_period_end	time_period_label	subsistence_pattern	pottery_style	burial_practices	material_culture_traits	probable_language_family	probable_haplogroups	predecessor_culture_ids	successor_culture_ids	confidence	sources	description	wikidata_qid	source_url	retrieved_at
starcevo-koros-cris-culture	Starčevo–Kőrös–Criş culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q7602903	http://www.wikidata.org/entity/Q7602903	2026-07-08T10:47:54.206Z
sumer	Sumer		{"lat":32,"lng":45.5}		-5500	-1900	5500 BCE–1900 BCE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q35355	http://www.wikidata.org/entity/Q35355	2026-07-08T10:47:54.206Z
swiderian-culture	Swiderian culture													["magdalenian"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2372667	http://www.wikidata.org/entity/Q2372667	2026-07-08T10:47:54.206Z
szeletian	Szeletian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1295733	http://www.wikidata.org/entity/Q1295733	2026-07-08T10:47:54.206Z
tagar-culture	Tagar culture														["tashtyk-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2005344	http://www.wikidata.org/entity/Q2005344	2026-07-08T10:47:54.206Z
talaiotic-culture	Talaiotic culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q530894	http://www.wikidata.org/entity/Q530894	2026-07-08T10:47:54.206Z
tardenoisian	Tardenoisian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1808482	http://www.wikidata.org/entity/Q1808482	2026-07-08T10:47:54.206Z
tartessos-culture	Tartessos		{"lat":37,"lng":-6.19999981}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q320416	http://www.wikidata.org/entity/Q320416	2026-07-08T10:47:54.206Z
tashtyk-culture	Tashtyk culture													["tagar-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1065306	http://www.wikidata.org/entity/Q1065306	2026-07-08T10:47:54.206Z
tasian-culture	Tasian culture		{"lat":27.0523759,"lng":31.3935643}												["badari-culture-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1971621	http://www.wikidata.org/entity/Q1971621	2026-07-08T10:47:54.206Z
tayacian	Tayacian															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q669878	http://www.wikidata.org/entity/Q669878	2026-07-08T10:47:54.206Z
terramare-cultura	Terramare cultura															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1410539	http://www.wikidata.org/entity/Q1410539	2026-07-08T10:47:54.206Z
tisza-culture	Tisza culture														["tiszapolgar-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1041623	http://www.wikidata.org/entity/Q1041623	2026-07-08T10:47:54.206Z
tiszapolgar-culture	Tiszapolgár culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1263312	http://www.wikidata.org/entity/Q1263312	2026-07-08T10:47:54.206Z
tiwanaku-polity-culture	Tiwanaku polity		{"lat":-16.5565339,"lng":-68.6739234}		300	1150	300 CE–1150 CE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1307407	http://www.wikidata.org/entity/Q1307407	2026-07-08T10:47:54.206Z
trialeti-vanadzor-culture	Trialeti-Vanadzor culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q169320	http://www.wikidata.org/entity/Q169320	2026-07-08T10:47:54.206Z
trzciniec-culture	Trzciniec culture														["lusatian-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2537330	http://www.wikidata.org/entity/Q2537330	2026-07-08T10:47:54.206Z
tumulus-culture	Tumulus culture													["unetice-culture"]	["urnfield-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q603383	http://www.wikidata.org/entity/Q603383	2026-07-08T10:47:54.206Z
ubaid-period	Ubaid period		{"lat":30.972222222,"lng":46.030555555}											["samarra-culture"]	["uruk-period"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q245156	http://www.wikidata.org/entity/Q245156	2026-07-08T10:47:54.206Z
unetice-culture	Unetice culture													["bell-beaker-culture"]	["tumulus-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q773818	http://www.wikidata.org/entity/Q773818	2026-07-08T10:47:54.206Z
upper-xiajiadian-culture	Upper Xiajiadian culture		{"lat":42.353318,"lng":119.162946}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1075080	http://www.wikidata.org/entity/Q1075080	2026-07-08T10:47:54.206Z
urnfield-culture	Urnfield culture													["tumulus-culture","terramare-cultura","apennine-culture"]	["hallstatt-culture","lusatian-culture","golasecca-culture","proto-villanovan-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q223998	http://www.wikidata.org/entity/Q223998	2026-07-08T10:47:54.206Z
uruk-period	Uruk period		{"lat":31.324167,"lng":45.637222}											["ubaid-period"]	["jemdet-nasr-period","early-dynastic-period"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q731494	http://www.wikidata.org/entity/Q731494	2026-07-08T10:47:54.206Z
valdivia-culture	Valdivia culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1755426	http://www.wikidata.org/entity/Q1755426	2026-07-08T10:47:54.206Z
varna-culture	Varna culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1859432	http://www.wikidata.org/entity/Q1859432	2026-07-08T10:47:54.206Z
vedas	Vedas				-1500		from 1500 BCE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q39950	http://www.wikidata.org/entity/Q39950	2026-07-08T10:47:54.206Z
vicus-culture	Vicús culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1707945	http://www.wikidata.org/entity/Q1707945	2026-07-08T10:47:54.206Z
villanovan-culture	Villanovan culture				-899	-719	899 BCE–719 BCE							["proto-villanovan-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q587309	http://www.wikidata.org/entity/Q587309	2026-07-08T10:47:54.206Z
vinca-culture	Vinča culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q831336	http://www.wikidata.org/entity/Q831336	2026-07-08T10:47:54.206Z
vucedol-culture	Vučedol culture		{"lat":45.35,"lng":19}											["baden-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q922829	http://www.wikidata.org/entity/Q922829	2026-07-08T10:47:54.206Z
wari-culture	Wari				600	900	600 CE–900 CE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q605340	http://www.wikidata.org/entity/Q605340	2026-07-08T10:47:54.206Z
wessex-culture	Wessex culture															80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q719139	http://www.wikidata.org/entity/Q719139	2026-07-08T10:47:54.206Z
wielbark-culture	Wielbark culture		{"lat":54.033,"lng":19.05}											["oksywie-culture"]	["chernyakhov-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q700039	http://www.wikidata.org/entity/Q700039	2026-07-08T10:47:54.206Z
xinglongwa-culture	Xinglongwa culture		{"lat":42.4625,"lng":120.284}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1154021	http://www.wikidata.org/entity/Q1154021	2026-07-08T10:47:54.206Z
xinle-culture	Xinle culture		{"lat":41.8475,"lng":123.4153}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1297733	http://www.wikidata.org/entity/Q1297733	2026-07-08T10:47:54.206Z
yamnaya-culture	Yamnaya culture													["serednii-stih-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q426737	http://www.wikidata.org/entity/Q426737	2026-07-08T10:47:54.206Z
yangshao-culture	Yangshao culture		{"lat":36.3,"lng":109.1}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q854631	http://www.wikidata.org/entity/Q854631	2026-07-08T10:47:54.206Z
yarmukian-culture	Yarmukian culture													["khiamian"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2915635	http://www.wikidata.org/entity/Q2915635	2026-07-08T10:47:54.206Z
yayoi-period	Yayoi period													["jomon-period"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q207858	http://www.wikidata.org/entity/Q207858	2026-07-08T10:47:54.206Z
yaz-culture	Yaz culture		{"lat":37.751681,"lng":61.998381}													80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2120200	http://www.wikidata.org/entity/Q2120200	2026-07-08T10:47:54.206Z
zarubintsy-culture	Zarubintsy culture													["la-tene-culture","pomeranian-culture"]	["kyiv-culture","prague-culture"]	80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q2015677	http://www.wikidata.org/entity/Q2015677	2026-07-08T10:47:54.206Z
zarzian-culture	Zarzian culture													["baradostian-culture"]		80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q647858	http://www.wikidata.org/entity/Q647858	2026-07-08T10:47:54.206Z
zhangzhung	Zhangzhung				-500	625	500 BCE–625 CE									80	["Wikidata"]	Archaeological culture recorded in Wikidata.	Q1358851	http://www.wikidata.org/entity/Q1358851	2026-07-08T10:47:54.206Z
