id	name	parent_id	description	taxonomic_level	region	total_speakers	language_count
xincan	Xincan		A nearly extinct language family of Guatemala.	Family	Guatemala		
xincan__xincan_languages	Xincan Languages	xincan	Includes Jumaytepeque, Yupiltepeque, Chiquimulilla, and Guazacapán Xinca.	Subfamily	Guatemala		
misumalpan	Misumalpan		A language family of Nicaragua and Honduras.	Family	Nicaragua, Honduras		
misumalpan__miskito	Miskito	misumalpan	The Miskito language, the largest of the family.	Subfamily	Nicaragua, Honduras		
misumalpan__sumo_mayangna	Sumo-Mayangna	misumalpan	Includes Mayangna (Sumo) dialects.	Subfamily	Nicaragua		
timucua	Timucua		An extinct language isolate of Florida and Georgia.	Family	Florida, Georgia (extinct)		
timucua__timucua_dialects	Timucua Dialects	timucua	Includes extinct Timucua dialects from various Florida missions.	Subfamily	Florida, Georgia (extinct)		
natchez	Natchez		An extinct language isolate of Mississippi and Louisiana.	Family	Mississippi, Louisiana (extinct)		
natchez__natchez_language	Natchez Language	natchez	The extinct Natchez language.	Subfamily	Mississippi, Louisiana (extinct)		
chitimacha	Chitimacha		An extinct language isolate of Louisiana.	Family	Louisiana (extinct)		
chitimacha__chitimacha_language	Chitimacha Language	chitimacha	The extinct Chitimacha language.	Subfamily	Louisiana (extinct)		
atakapa	Atakapa		An extinct language isolate of Louisiana and Texas.	Family	Louisiana, Texas (extinct)		
atakapa__eastern_atakapa	Eastern Atakapa	atakapa	The eastern dialect of Atakapa, documented around Saint Martinville, Louisiana.	Subfamily	Louisiana (extinct)		
atakapa__western_atakapa	Western Atakapa	atakapa	The western dialect of Atakapa, documented around Lake Charles, Louisiana and Galveston Bay, Texas.	Subfamily	Louisiana, Texas (extinct)		
tunica	Tunica		An extinct language isolate of Louisiana and Mississippi.	Family	Louisiana, Mississippi (extinct)		
tunica__tunica_language	Tunica Language	tunica	The extinct Tunica language.	Subfamily	Louisiana, Mississippi (extinct)		
tonkawa	Tonkawa		An extinct language isolate of Texas.	Family	Texas (extinct)		
tonkawa__tonkawa_language	Tonkawa Language	tonkawa	The extinct Tonkawa language.	Subfamily	Texas (extinct)		
karuk	Karuk		A language isolate of northwestern California.	Family	Northern California		
karuk__karuk_language	Karuk Language	karuk	The Karuk language of the Klamath River region.	Subfamily	Northern California		
washo	Washo		A language isolate of the Lake Tahoe region.	Family	California, Nevada		
washo__washo_language	Washo Language	washo	The Washo language of the Lake Tahoe basin.	Subfamily	California, Nevada		
yukian	Yukian		An extinct language family of northern California.	Family	Northern California (extinct)		
yukian__yuki_wappo	Yuki-Wappo	yukian	Includes extinct Yuki and Wappo languages.	Subfamily	Northern California (extinct)		
chumashan	Chumashan		An extinct language family of coastal southern California.	Family	Southern California (extinct)		
chumashan__chumashan_languages	Chumashan Languages	chumashan	Includes extinct Island Chumash, Barbareño, Ventureño, Purisimeño, Obispeño, and Ineseño.	Subfamily	Southern California (extinct)		
esselen	Esselen		An extinct language isolate of coastal central California.	Family	Central California (extinct)		
esselen__esselen_language	Esselen Language	esselen	The extinct Esselen language.	Subfamily	Central California (extinct)		
salinan	Salinan		An extinct language isolate of coastal central California.	Family	Central California (extinct)		
salinan__salinan_language	Salinan Language	salinan	The extinct Salinan language with Antoniaño and Miguelino dialects.	Subfamily	Central California (extinct)		
sumerian-family	Sumerian		An extinct language isolate of ancient Mesopotamia, one of the earliest written languages.	Family	Mesopotamia (extinct)		
sumerian__sumerian_language	Sumerian Language	sumerian-family	The extinct Sumerian language with Emesal and Emegir varieties.	Subfamily	Mesopotamia (extinct)		
elamite-family	Elamite		An extinct language isolate of ancient Iran.	Family	Iran (extinct)		
elamite__elamite_language	Elamite Language	elamite-family	The extinct Elamite language with Old, Middle, and Achaemenid periods.	Subfamily	Iran (extinct)		
hurro_urartian	Hurro-Urartian		An extinct language family of ancient Anatolia and the Caucasus.	Family	Anatolia, Caucasus (extinct)		
hurro_urartian__hurrian	Hurrian	hurro_urartian	An extinct language of ancient Mesopotamia and Anatolia.	Subfamily	Mesopotamia, Anatolia (extinct)		
hurro_urartian__urartian	Urartian	hurro_urartian	An extinct language of ancient Armenia.	Subfamily	Armenia (extinct)		
hattic	Hattic		An extinct language isolate of ancient Anatolia.	Family	Anatolia (extinct)		
hattic__hattic_language	Hattic Language	hattic	The extinct Hattic language of the Hattians.	Subfamily	Anatolia (extinct)		
etruscan	Etruscan		An extinct language isolate of ancient Italy.	Family	Italy (extinct)		
etruscan__etruscan_language	Etruscan Language	etruscan	The extinct Etruscan language.	Subfamily	Italy (extinct)		
andamanese	Andamanese		A language family of the Andaman Islands, including Great Andamanese languages, Jarawa, and Onge.	Family	Andaman Islands		
andamanese__great_andamanese	Great Andamanese	andamanese	A branch of nearly extinct languages of the Andaman Islands.	Subfamily	Andaman Islands		
andamanese__ongan	Ongan	andamanese	A branch including Jarawa and Onge.	Subfamily	Andaman Islands		
kusunda	Kusunda		A nearly extinct language isolate of Nepal.	Family	Nepal		
kusunda__kusunda_language	Kusunda Language	kusunda	The nearly extinct Kusunda language.	Subfamily	Nepal		
nihali	Nihali		A language isolate of central India.	Family	Central India		
nihali__nihali_language	Nihali Language	nihali	The Nihali language, possibly a language isolate.	Subfamily	Central India		
eskimo_aleut__inuit	Inuit	eskimo_aleut	The Inuit branch of Eskimo, including Inuktitut and Inupiaq.	Subfamily	Arctic (Canada, Alaska, Greenland)		
eskimo_aleut__yupik	Yupik	eskimo_aleut	The Yupik branch of Eskimo.	Subfamily	Alaska, Siberia		
japonic__ryukyuan	Ryukyuan	japonic	The Ryukyuan languages of the Ryukyu Islands, distinct from Japanese.	Subfamily	Ryukyu Islands		
dravidian__north_dravidian	North Dravidian	dravidian	The northern branch of Dravidian including Brahui and Kurukh.	Subfamily	Pakistan, Central India		
dravidian__central_dravidian	Central Dravidian	dravidian	The central branch of Dravidian including Gondi and Kui.	Subfamily	Central India		
kartvelian__svan	Svan	kartvelian	The most divergent branch of Kartvelian.	Subfamily	Georgia		
mongolic__western_mongolic	Western Mongolic	mongolic	The western branch including Oirat and Kalmyk.	Subfamily	Western Mongolia, Russia		
tungusic__southern_tungusic	Southern Tungusic	tungusic	The southern branch including Nanai and Ulch.	Subfamily	Russian Far East, China		
abkhaz_adyge__ubykh	Ubykh	abkhaz_adyge	An extinct language known for having one of the largest consonant inventories.	Subfamily	Turkey (extinct)		
nakh_daghestanian__avar_andic	Avar-Andic	nakh_daghestanian	A major branch of Daghestanian languages.	Subfamily	Dagestan		
nakh_daghestanian__tsezic	Tsezic	nakh_daghestanian	A branch of Daghestanian languages known for complex case systems.	Subfamily	Dagestan		
nakh_daghestanian__lezgic	Lezgic	nakh_daghestanian	A major branch of Daghestanian languages.	Subfamily	Dagestan, Azerbaijan		
nakh_daghestanian__dargwa	Dargwa	nakh_daghestanian	A branch consisting of the Dargwa language cluster.	Subfamily	Dagestan		
nakh_daghestanian__lak	Lak	nakh_daghestanian	A branch consisting of the Lak language.	Subfamily	Dagestan		
skou	Skou		A small Papuan language family of the north coast of Papua.	Family	Papua		
skou__skou_languages	Skou Languages	skou	Includes Skou, Sangke, I'saka, and Rawo.	Subfamily	North Coast Papua		
lower_mamberamo	Lower Mamberamo		A small Papuan language family of Papua.	Family	Papua		
lower_mamberamo__lower_mamberamo_languages	Lower Mamberamo Languages	lower_mamberamo	Includes Warembori and Pauwi.	Subfamily	Mamberamo River, Papua		
border	Border		A Papuan language family of the Papua New Guinea-Indonesia border region.	Family	Papua New Guinea, Indonesia		
border__border_languages	Border Languages	border	Includes Imonda, Waris, and related languages.	Subfamily	Border Region		
kwomtari	Kwomtari		A small Papuan language family of Papua New Guinea.	Family	Papua New Guinea		
kwomtari__kwomtari_languages	Kwomtari Languages	kwomtari	Includes Kwomtari, Guriaso, and Nai.	Subfamily	Sandaun Province		
left_may	Left May		A small Papuan language family of Papua New Guinea.	Family	Papua New Guinea		
left_may__left_may_languages	Left May Languages	left_may	Includes Ama and Nakwi.	Subfamily	Sandaun Province		
yuat	Yuat		A Papuan language family of the Yuat River basin.	Family	Papua New Guinea		
yuat__yuat_languages	Yuat Languages	yuat	Includes Biwat, Changriwa, Kyenele, and Miyak.	Subfamily	Yuat River Basin		
ramu	Ramu		A Papuan language family of the Ramu River basin.	Family	Papua New Guinea		
ramu__ramu_languages	Ramu Languages	ramu	Includes multiple branches along the Ramu River.	Subfamily	Ramu River Basin		
lower_sepik	Lower Sepik		A Papuan language family of the lower Sepik River.	Family	Papua New Guinea		
lower_sepik__lower_sepik_languages	Lower Sepik Languages	lower_sepik	Includes Yimas, Karawari, and related languages.	Subfamily	Lower Sepik River		
gunwinyguan	Gunwinyguan		A major Australian Aboriginal language family of Arnhem Land.	Family	Northern Territory		
gunwinyguan__gunwinyguan_languages	Gunwinyguan Languages	gunwinyguan	Includes Kunwinjku, Jawoyn, Ngalakgan, and related languages.	Subfamily	Arnhem Land		
arnhem	Arnhem		A group of Australian Aboriginal languages of Arnhem Land.	Family	Northern Territory		
arnhem__arnhem_languages	Arnhem Languages	arnhem	Includes Burarra, Nunggubuyu, and other non-Pama-Nyungan Arnhem languages.	Subfamily	Arnhem Land		
daly	Daly		A group of Australian Aboriginal languages of the Daly River region.	Family	Northern Territory		
daly__daly_languages	Daly Languages	daly	Includes Malak-Malak, Marrithiyel, Murrinh-Patha, and related languages.	Subfamily	Daly River Region		
jarrakan	Jarrakan		An Australian Aboriginal language family of the Northern Territory and Western Australia.	Family	Northern Territory, Western Australia		
jarrakan__jarrakan_languages	Jarrakan Languages	jarrakan	Includes Kija and Miriwoong.	Subfamily	East Kimberley		
nyulnyulan	Nyulnyulan		An Australian Aboriginal language family of the Dampier Peninsula.	Family	Western Australia		
nyulnyulan__nyulnyulan_languages	Nyulnyulan Languages	nyulnyulan	Includes Bardi, Jawi, Nyulnyul, and related languages.	Subfamily	Dampier Peninsula		
worrorran	Worrorran		An Australian Aboriginal language family of the Kimberley region.	Family	Western Australia		
worrorran__northern_worrorran	Northern Worrorran	worrorran	Includes Wunambal and Gaambera.	Subfamily	Northern Kimberley		
worrorran__western_worrorran	Western Worrorran	worrorran	Includes Worora and Unggumi.	Subfamily	Western Kimberley		
bunuban	Bunuban		A small Australian Aboriginal language family of the Northern Territory.	Family	Northern Territory		
bunuban__bunuban_languages	Bunuban Languages	bunuban	The two closely related languages of the Bunuban family: Bunuba and Gooniyandi.	Subfamily	Kimberley, Western Australia		
tiwi	Tiwi		A language isolate of the Tiwi Islands, Northern Territory.	Family	Northern Territory		
tiwi__tiwi_language	Tiwi Language	tiwi	The Tiwi language with Traditional and Modern varieties.	Subfamily	Tiwi Islands		
