Language Name,Direct Parent,Substrata,Superstrata,Adstrata
Mehri,Modern South Arabian,,,
Shehri (Jibbali),Modern South Arabian,,,
Soqotri,Modern South Arabian,,,
Bathari,Modern South Arabian,,,
Harsusi,Modern South Arabian,,,
Hobyot,Modern South Arabian,,,
Old South Arabian,South Semitic,,,
Sabaean,Old South Arabian,,,
Minaic,Old South Arabian,,,
Qatabanic,Old South Arabian,,,
Hadramitic,Old South Arabian,,,
Egyptian,Proto-Afro-Asiatic,,,
Old Egyptian,Egyptian,,,
Middle Egyptian,Old Egyptian,,,
Late Egyptian,Middle Egyptian,,,
Demotic,Late Egyptian,,,
Coptic,Demotic,,,
Sahidic Coptic,Coptic,,,
Bohairic Coptic,Coptic,,,
Akhmimic Coptic,Coptic,,,
Lycopolitan Coptic,Coptic,,,
Fayyumic Coptic,Coptic,,,
Berber,Proto-Afro-Asiatic,,,
Proto-Berber,Berber,,,
Northern Berber,Proto-Berber,,,
Kabyle,Northern Berber,,,
Tashelhit (Shilha),Northern Berber,,,
Tarifit (Riffian),Northern Berber,,,
Tachawit (Shawiya),Northern Berber,,,
Tamazight,Northern Berber,,,
Central Atlas Tamazight,Tamazight,,,
Atlas Tamazight,Tamazight,,,
Eastern Berber,Proto-Berber,,,
Siwa,Eastern Berber,,,
Awjila,Eastern Berber,,,
Ghadames,Eastern Berber,,,
Southern Berber,Proto-Berber,,,
Tuareg,Southern Berber,,,
Tamahaq,Tuareg,,,
Tamashek,Tuareg,,,
Tamasheq,Tuareg,,,
Zenaga,Southern Berber,,,
Guanche (extinct),Proto-Berber,,,
Cushitic,Proto-Afro-Asiatic,,,
Proto-Cushitic,Cushitic,,,
North Cushitic,Proto-Cushitic,,,
Beja,North Cushitic,,,
Central Cushitic (Agaw),Proto-Cushitic,,,
Blin,Central Cushitic (Agaw),,,
Xamtanga,Central Cushitic (Agaw),,,
Kemant,Central Cushitic (Agaw),,,
Qimant,Central Cushitic (Agaw),,,
Awngi,Central Cushitic (Agaw),,,
East Cushitic,Proto-Cushitic,,,
Highland East Cushitic,East Cushitic,,,
Sidamo,Highland East Cushitic,,,
Gedeo,Highland East Cushitic,,,
Hadiyya,Highland East Cushitic,,,
Kambaata,Highland East Cushitic,,,
Burji,Highland East Cushitic,,,
Lowland East Cushitic,East Cushitic,,,
Oromo,Lowland East Cushitic,Unknown,Amharic; Arabic,Amharic; Somali
Borana Oromo,Oromo,,,
Orma,Oromo,,,
Eastern Oromo,Oromo,,,
Western Oromo,Oromo,,,
Somali,Lowland East Cushitic,Unknown,Arabic,Arabic; Swahili; Oromo
Northern Somali,Somali,,,
Benadir Somali,Somali,,,
Maay Somali,Somali,,,
Afar,Lowland East Cushitic,,,
Saho,Lowland East Cushitic,,,
Rendille,Lowland East Cushitic,,,
Boni,Lowland East Cushitic,,,
Southern Cushitic,Proto-Cushitic,,,
Iraqw,Southern Cushitic,,,
Gorowa,Southern Cushitic,,,
Burunge,Southern Cushitic,,,
Alagwa,Southern Cushitic,,,
Dahalo,Southern Cushitic,,,
Omotic,Proto-Afro-Asiatic,,,
Proto-Omotic,Omotic,,,
North Omotic,Proto-Omotic,,,
Dizoid,North Omotic,,,
Dizin,Dizoid,,,
Sheko,Dizoid,,,
Gonga-Gimojan,North Omotic,,,
Bench,Gonga-Gimojan,,,
Kafa,Gonga-Gimojan,,,
Shekkacho,Gonga-Gimojan,,,
Yemsa,Gonga-Gimojan,,,
South Omotic,Proto-Omotic,,,
Aroid,South Omotic,,,
Ari,Aroid,,,
Hamer,South Omotic,,,
Chadic,Proto-Afro-Asiatic,,,
Proto-Chadic,Chadic,,,
West Chadic,Proto-Chadic,,,
Hausa,West Chadic,Nilo-Saharan?,Arabic,Fulani; Yoruba; Arabic
Standard Hausa,Hausa,,,
Eastern Hausa,Standard Hausa,,,
Western Hausa,Standard Hausa,,,
Bole-Tangale,West Chadic,,,
Bole,Bole-Tangale,,,
Tangale,Bole-Tangale,,,
Angas-Gerka,West Chadic,,,
Angas,Angas-Gerka,,,
Bade-Warji,West Chadic,,,
Bade,Bade-Warji,,,
East Chadic,Proto-Chadic,,,
Nancere,East Chadic,,,
Lele,East Chadic,,,
Kera,East Chadic,,,
Dangla,East Chadic,,,
Central Chadic,Proto-Chadic,,,
Bura-Margi,Central Chadic,,,
Bura,Bura-Margi,,,
Margi,Bura-Margi,,,
Higi,Central Chadic,,,
Mandara-Matakam,Central Chadic,,,
Mandara,Mandara-Matakam,,,
Podoko,Mandara-Matakam,,,
Massa,Central Chadic,,,
Kotoko,Central Chadic,,,
Niger-Congo,Dene-Caucasian (hypothetical),,,
Proto-Niger-Congo,Niger-Congo,,,
Atlantic-Congo,Proto-Niger-Congo,,,
Volta-Congo,Atlantic-Congo,,,
Benue-Congo,Volta-Congo,,,
Bantoid,Benue-Congo,,,
Bantu,Bantoid,,,
Proto-Bantu,Bantu,,,
Northwest Bantu,Proto-Bantu,,,
Duala,Northwest Bantu,,,
Basaa,Northwest Bantu,,,
Northeast Bantu,Proto-Bantu,,,
Swahili,Northeast Bantu,Cushitic,Arabic; Persian; Portuguese,Arabic; Somali; Other Bantu
Standard Swahili,Swahili,,,
Coastal Swahili,Standard Swahili,,,
Kingwana,Swahili,,,
Gikuyu (Kikuyu),Northeast Bantu,,,
Kamba,Northeast Bantu,,,
Meru,Northeast Bantu,,,
Embu,Northeast Bantu,,,
Central Bantu,Proto-Bantu,,,
Bemba,Central Bantu,,,
Luba,Central Bantu,,,
Luba-Kasai,Luba,,,
Luba-Katanga,Luba,,,
Southern Bantu,Proto-Bantu,,,
Nguni,Southern Bantu,,,
Zulu,Nguni,Khoesan (clicks!),Afrikaans; English,Xhosa; English; Afrikaans
Xhosa,Nguni,Khoesan (clicks!),Afrikaans; English,Zulu; English; Afrikaans
Swazi,Nguni,,,
Ndebele,Nguni,,,
Northern Ndebele,Ndebele,,,
Southern Ndebele,Ndebele,,,
Sotho-Tswana,Southern Bantu,,,
Tswana,Sotho-Tswana,,,
Northern Sotho (Pedi),Sotho-Tswana,,,
Southern Sotho (Sesotho),Sotho-Tswana,,,
Shona,Southern Bantu,,,
Tsonga,Southern Bantu,,,
Venda,Southern Bantu,,,
Herero,Southern Bantu,,,
Ovambo,Southern Bantu,,,
Nyanja-Chewa,Central Bantu,,,
Chichewa (Chewa),Nyanja-Chewa,,,
Nyanja,Nyanja-Chewa,,,
Western Bantu,Proto-Bantu,,,
Kongo,Western Bantu,,,
Kituba,Kongo,,,
Kikongo,Kongo,,,
Lingala,Western Bantu,,,
Mongo-Nkundu,Western Bantu,,,
Luba,Western Bantu,,,
Kikongo ya leta,Kongo,,,
Tiv,Bantoid,,,
Grassfields Bantu,Bantoid,,,
Bamun,Grassfields Bantu,,,
Ngemba,Grassfields Bantu,,,
Jukunoid,Bantoid,,,
Jukun,Jukunoid,,,
Cross River,Benue-Congo,,,
Efik-Ibibio,Cross River,,,
Efik,Efik-Ibibio,,,
Ibibio,Efik-Ibibio,,,
Annang,Efik-Ibibio,,,
Ekoi,Cross River,,,
Defoid,Benue-Congo,,,
Yoruboid,Defoid,,,
Yoruba,Yoruboid,Unknown,Arabic; English,Igbo; Hausa; English
Standard Yoruba,Yoruba,,,
Ijebu,Yoruba,,,
Ekiti,Yoruba,,,
Ondo,Yoruba,,,
Oyo,Yoruba,,,
Igala,Yoruboid,,,
Edoid,Benue-Congo,,,
Edo,Edoid,,,
Esan,Edoid,,,
Isoko,Edoid,,,
Urhobo,Edoid,,,
Nupoid,Benue-Congo,,,
Nupe,Nupoid,,,
Gbagyi,Nupoid,,,
Idomoid,Benue-Congo,,,
Idoma,Idomoid,,,
Kwa,Volta-Congo,,,
Akan,Kwa,,,
Twi-Fante,Akan,,,
Twi,Twi-Fante,,,
Asante Twi,Twi,,,
Akuapem Twi,Twi,,,
Fante,Twi-Fante,,,
Bono,Akan,,,
Anyi,Akan,,,
Baoulé,Akan,,,
Ga-Dangme,Kwa,,,
Ga,Ga-Dangme,,,
Dangme,Ga-Dangme,,,
Ewe,Kwa,,,
Standard Ewe,Ewe,,,
Anlo Ewe,Ewe,,,
Gbe languages,Kwa,,,
Fon,Gbe languages,,,
Gen,Gbe languages,,,
Aja,Gbe languages,,,
Gur (Voltaic),Volta-Congo,,,
Mole-Dagbani,Gur (Voltaic),,,
Dagbani,Mole-Dagbani,,,
Mampruli,Mole-Dagbani,,,
Moore,Gur (Voltaic),,,
Gurma,Gur (Voltaic),,,
Senufo,Gur (Voltaic),,,
Adamawa-Ubangi,Volta-Congo,,,
Ubangi,Adamawa-Ubangi,,,
Gbaya,Ubangi,,,
Ngbandi,Ubangi,,,
Sango,Ngbandi,,,
Zande,Ubangi,,,
Banda,Ubangi,,,
Adamawa,Adamawa-Ubangi,,,
Fula (Fulfulde),Adamawa,,,
Pulaar,Fula (Fulfulde),,,
Pular,Fula (Fulfulde),,,
Fulani,Fula (Fulfulde),Unknown West African,Arabic,Hausa; Wolof; various West African
Mbum,Adamawa,,,
Kru,Atlantic-Congo,,,
Bassa,Kru,,,
Grebo,Kru,,,
Krahn,Kru,,,
Kpelle,Kru,,,
Guere,Kru,,,
Wobe,Kru,,,
Atlantic,Atlantic-Congo,,,
Wolof,Atlantic,,,
Serer,Atlantic,,,
Fula (also in Adamawa),Atlantic,,,
Temne,Atlantic,,,
Limba,Atlantic,,,
Bijago,Atlantic,,,
Mande,Proto-Niger-Congo,,,
Western Mande,Mande,,,
Manding,Western Mande,,,
Mandinka,Manding,,,
Bambara,Manding,,,
Dyula,Manding,,,
Maninka,Manding,,,
Soninke,Western Mande,,,
Vai,Western Mande,,,
Kpelle (also in Kru),Western Mande,,,
Mende,Western Mande,,,
Loko,Western Mande,,,
Eastern Mande,Mande,,,
Bisa,Eastern Mande,,,
Boko,Eastern Mande,,,
San,Eastern Mande,,,
Nilo-Saharan,Dene-Caucasian (hypothetical),,,
Proto-Nilo-Saharan,Nilo-Saharan,,,
Sudanic,Proto-Nilo-Saharan,,,
Eastern Sudanic,Sudanic,,,
Nilotic,Eastern Sudanic,,,
Proto-Nilotic,Nilotic,,,
Western Nilotic,Proto-Nilotic,,,
Dinka,Western Nilotic,,,
Nuer,Western Nilotic,,,
Shilluk,Western Nilotic,,,
Luo,Western Nilotic,,,
Acholi,Luo,,,
Lango,Luo,,,
Alur,Luo,,,
Dholuo,Luo,,,
Eastern Nilotic,Proto-Nilotic,,,
Bari,Eastern Nilotic,,,
Teso-Turkana,Eastern Nilotic,,,
Teso,Teso-Turkana,,,
Turkana,Teso-Turkana,,,
Karimojong,Teso-Turkana,,,
Maasai-Samburu,Eastern Nilotic,,,
Maasai,Maasai-Samburu,,,
Samburu,Maasai-Samburu,,,
Southern Nilotic,Proto-Nilotic,,,
Kalenjin,Southern Nilotic,,,
Kipsigis,Kalenjin,,,
Nandi,Kalenjin,,,
Pokot,Kalenjin,,,
Tugen,Kalenjin,,,
Marakwet,Kalenjin,,,
Datooga,Southern Nilotic,,,
Nubian,Eastern Sudanic,,,
Nobiin,Nubian,,,
Kenzi-Dongolawi,Nubian,,,
Midob,Nubian,,,
Birgid,Nubian,,,
Hill Nubian,Nubian,,,
Tama,Eastern Sudanic,,,
Fur,Eastern Sudanic,,,
Central Sudanic,Sudanic,,,
Bongo-Bagirmi,Central Sudanic,,,
Bagirmi,Bongo-Bagirmi,,,
Sara,Bongo-Bagirmi,,,
Moru-Madi,Central Sudanic,,,
Moru,Moru-Madi,,,
Madi,Moru-Madi,,,
Logo,Moru-Madi,,,
Mangbetu,Central Sudanic,,,
Lendu,Central Sudanic,,,
Saharan,Proto-Nilo-Saharan,,,
Kanuri,Saharan,,,
Kanembu,Saharan,,,
Teda (Daza),Saharan,,,
Zaghawa,Saharan,,,
Berti,Saharan,,,
Songhay,Proto-Nilo-Saharan,,,
Zarma,Songhay,,,
Koyraboro Senni,Songhay,,,
Koyra Chiini,Songhay,,,
Tadaksahak,Songhay,,,
Korandje,Songhay,,,
Khoisan,Human Language,,,
Khoe-Kwadi,Khoisan,,,
Khoe,Khoe-Kwadi,,,
Nama (Khoekhoe),Khoe,,,
Damara,Nama (Khoekhoe),,,
Naro,Khoe,,,
Gǁana,Khoe,,,
Shua,Khoe,,,
Tsoa,Khoe,,,
Kwadi,Khoe-Kwadi,,,
Kx'a,Khoisan,,,
ǃKung,Kx'a,,,
Ju,Kx'a,,,
ǂHoan,Kx'a,,,
Tuu,Khoisan,,,
ǃXoon,Tuu,,,
ǀXam,Tuu,,,
Sandawe,Khoisan,,,
Hadza,Khoisan,,,
Eskimo-Aleut,Dene-Caucasian (hypothetical),,,
Proto-Eskimo-Aleut,Eskimo-Aleut,,,
Eskimo,Proto-Eskimo-Aleut,,,
Inuit,Eskimo,,,
Inuktitut,Inuit,,,
Eastern Canadian Inuktitut,Inuktitut,,,
Western Canadian Inuktitut,Inuktitut,,,
Inuinnaqtun,Inuit,,,
Inuvialuktun,Inuit,,,
Greenlandic (Kalaallisut),Inuit,,,
West Greenlandic,Greenlandic (Kalaallisut),,,
East Greenlandic,Greenlandic (Kalaallisut),,,
Inupiaq,Inuit,,,
North Alaskan Inupiaq,Inupiaq,,,
Seward Peninsula Inupiaq,Inupiaq,,,
Yupik,Eskimo,,,
Central Alaskan Yupik,Yupik,,,
Alutiiq (Sugpiaq),Yupik,,,
Central Siberian Yupik,Yupik,,,
Chaplinski,Central Siberian Yupik,,,
Naukanski,Central Siberian Yupik,,,
Sirenik,Yupik,,,
Aleut,Proto-Eskimo-Aleut,,,
Eastern Aleut,Aleut,,,
Atkan,Eastern Aleut,,,
Unangan,Eastern Aleut,,,
Western Aleut,Aleut,,,
Attuan,Western Aleut,,,
Na-Dene,Dene-Caucasian (hypothetical),,,
Proto-Na-Dene,Na-Dene,,,
Athabaskan-Eyak-Tlingit,Proto-Na-Dene,,,
Tlingit,Athabaskan-Eyak-Tlingit,,,
Eyak,Athabaskan-Eyak-Tlingit,,,
Athabaskan,Athabaskan-Eyak-Tlingit,,,
Proto-Athabaskan,Athabaskan,,,
Northern Athabaskan,Proto-Athabaskan,,,
Gwich'in,Northern Athabaskan,,,
Hän,Northern Athabaskan,,,
Koyukon,Northern Athabaskan,,,
Dena'ina,Northern Athabaskan,,,
Ahtna,Northern Athabaskan,,,
Deg Xinag,Northern Athabaskan,,,
Holikachuk,Northern Athabaskan,,,
Koyukon,Northern Athabaskan,,,
Upper Kuskokwim,Northern Athabaskan,,,
Tanana,Northern Athabaskan,,,
Tanacross,Northern Athabaskan,,,
Upper Tanana,Northern Athabaskan,,,
Tutchone,Northern Athabaskan,,,
Northern Tutchone,Tutchone,,,
Southern Tutchone,Tutchone,,,
Dogrib (Tłı̨chǫ),Northern Athabaskan,,,
Slavey,Northern Athabaskan,,,
North Slavey,Slavey,,,
South Slavey,Slavey,,,
Mountain,Northern Athabaskan,,,
Bearlake,Northern Athabaskan,,,
Hare,Northern Athabaskan,,,
Chipewyan,Northern Athabaskan,,,
Dene Suline,Chipewyan,,,
Beaver (Dane-zaa),Northern Athabaskan,,,
Sekani,Northern Athabaskan,,,
Tahltan,Northern Athabaskan,,,
Kaska,Northern Athabaskan,,,
Tagish,Northern Athabaskan,,,
Tsetsaut,Northern Athabaskan,,,
Pacific Coast Athabaskan,Proto-Athabaskan,,,
Kwalhioqua-Clatskanie,Pacific Coast Athabaskan,,,
Tututni,Pacific Coast Athabaskan,,,
Tolowa,Pacific Coast Athabaskan,,,
Galice,Pacific Coast Athabaskan,,,
Upper Umpqua,Pacific Coast Athabaskan,,,
Mattole-Bear River,Pacific Coast Athabaskan,,,
Eel River,Pacific Coast Athabaskan,,,
Hupa-Chilula,Pacific Coast Athabaskan,,,
Hupa,Hupa-Chilula,,,
Southern Athabaskan (Apachean),Proto-Athabaskan,,,
Navajo,Southern Athabaskan (Apachean),,,
Western Apache,Southern Athabaskan (Apachean),,,
Chiricahua Apache,Southern Athabaskan (Apachean),,,
Mescalero-Chiricahua Apache,Southern Athabaskan (Apachean),,,
Jicarilla Apache,Southern Athabaskan (Apachean),,,
Lipan Apache,Southern Athabaskan (Apachean),,,
Plains Apache (Kiowa-Apache),Southern Athabaskan (Apachean),,,
Haida,Na-Dene,,,
Northern Haida,Haida,,,
Masset,Northern Haida,,,
Southern Haida,Haida,,,
Skidegate,Southern Haida,,,
Kaigani,Southern Haida,,,
Algic,Amerind (hypothetical),,,
Proto-Algic,Algic,,,
Algonquian,Proto-Algic,,,
Proto-Algonquian,Algonquian,,,
Central Algonquian,Proto-Algonquian,,,
Ojibwe-Potawatomi,Central Algonquian,,,
Ojibwe (Anishinaabemowin),Ojibwe-Potawatomi,,,
Chippewa,Ojibwe (Anishinaabemowin),,,
Ottawa,Ojibwe (Anishinaabemowin),,,
Potawatomi,Ojibwe-Potawatomi,,,
Cree-Montagnais-Naskapi,Central Algonquian,,,
Cree,Cree-Montagnais-Naskapi,,,
Plains Cree,Cree,,,
Woods Cree,Cree,,,
Swampy Cree,Cree,,,
Moose Cree,Cree,,,
Montagnais,Cree-Montagnais-Naskapi,,,
Naskapi,Cree-Montagnais-Naskapi,,,
Innu-aimun,Cree-Montagnais-Naskapi,,,
Menominee,Central Algonquian,,,
Fox-Sauk-Kickapoo,Central Algonquian,,,
Fox (Meskwaki),Fox-Sauk-Kickapoo,,,
Sauk,Fox-Sauk-Kickapoo,,,
Kickapoo,Fox-Sauk-Kickapoo,,,
Shawnee,Central Algonquian,,,
Miami-Illinois,Central Algonquian,,,
Eastern Algonquian,Proto-Algonquian,,,
Mi'kmaq,Eastern Algonquian,,,
Abenaki,Eastern Algonquian,,,
Western Abenaki,Abenaki,,,
Eastern Abenaki,Abenaki,,,
Maliseet-Passamaquoddy,Eastern Algonquian,,,
Massachusett,Eastern Algonquian,,,
Narragansett,Eastern Algonquian,,,
Mohegan-Pequot,Eastern Algonquian,,,
Unami Delaware,Eastern Algonquian,,,
Munsee Delaware,Eastern Algonquian,,,
Mahican,Eastern Algonquian,,,
Powhatan,Eastern Algonquian,,,
Carolina Algonquian,Eastern Algonquian,,,
Pamlico,Carolina Algonquian,,,
Plains Algonquian,Proto-Algonquian,,,
Blackfoot (Siksiká),Plains Algonquian,,,
Arapaho-Gros Ventre,Plains Algonquian,,,
Arapaho,Arapaho-Gros Ventre,,,
Gros Ventre (Atsina),Arapaho-Gros Ventre,,,
Cheyenne,Plains Algonquian,,,
Wiyot,Proto-Algic,,,
Yurok,Proto-Algic,,,
Siouan-Catawban,Amerind (hypothetical),,,
Proto-Siouan-Catawban,Siouan-Catawban,,,
Siouan,Proto-Siouan-Catawban,,,
Proto-Siouan,Siouan,,,
Missouri Valley Siouan,Proto-Siouan,,,
Crow-Hidatsa,Missouri Valley Siouan,,,
Crow,Crow-Hidatsa,,,
Hidatsa,Crow-Hidatsa,,,
Mandan,Missouri Valley Siouan,,,
Mississippi Valley Siouan,Proto-Siouan,,,
Dakotan,Mississippi Valley Siouan,,,
Dakota,Dakotan,,,
Lakota,Dakotan,,,
Nakota (Assiniboine),Dakotan,,,
Stoney,Nakota (Assiniboine),,,
Dhegihan,Mississippi Valley Siouan,,,
Omaha-Ponca,Dhegihan,,,
Omaha,Omaha-Ponca,,,
Ponca,Omaha-Ponca,,,
Kansa,Dhegihan,,,
Osage,Dhegihan,,,
Quapaw,Dhegihan,,,
Chiwere-Winnebago,Mississippi Valley Siouan,,,
Chiwere,Chiwere-Winnebago,,,
Iowa,Chiwere,,,
Otoe,Chiwere,,,
Missouria,Chiwere,,,
Winnebago (Ho-Chunk),Chiwere-Winnebago,,,
Ohio Valley Siouan,Proto-Siouan,,,
Ofo,Ohio Valley Siouan,,,
Biloxi,Ohio Valley Siouan,,,
Tutelo,Ohio Valley Siouan,,,
Saponi,Ohio Valley Siouan,,,
Southeastern Siouan,Proto-Siouan,,,
Catawba,Southeastern Siouan,,,
Woccon,Southeastern Siouan,,,
Iroquoian,Amerind (hypothetical),,,
Proto-Iroquoian,Iroquoian,,,
Northern Iroquoian,Proto-Iroquoian,,,
Five Nations Iroquois,Northern Iroquoian,,,
Mohawk,Five Nations Iroquois,,,
Oneida,Five Nations Iroquois,,,
Onondaga,Five Nations Iroquois,,,
Cayuga,Five Nations Iroquois,,,
Seneca,Five Nations Iroquois,,,
Tuscarora-Nottoway,Northern Iroquoian,,,
Tuscarora,Tuscarora-Nottoway,,,
Nottoway,Tuscarora-Nottoway,,,
Huron-Wyandot,Northern Iroquoian,,,
Huron,Huron-Wyandot,,,
Wyandot,Huron-Wyandot,,,
Neutral,Northern Iroquoian,,,
Erie,Northern Iroquoian,,,
Susquehannock,Northern Iroquoian,,,
Southern Iroquoian,Proto-Iroquoian,,,
Cherokee,Southern Iroquoian,,,
Uto-Aztecan,Amerind (hypothetical),,,
Proto-Uto-Aztecan,Uto-Aztecan,,,
Northern Uto-Aztecan,Proto-Uto-Aztecan,,,
Numic,Northern Uto-Aztecan,,,
Western Numic,Numic,,,
Mono,Western Numic,,,
Northern Paiute,Western Numic,,,
Central Numic,Numic,,,
Timbisha,Central Numic,,,
Shoshoni,Central Numic,,,
Comanche,Central Numic,,,
Southern Numic,Numic,,,
Kawaiisu,Southern Numic,,,
Ute-Southern Paiute,Southern Numic,,,
Ute,Ute-Southern Paiute,,,
Southern Paiute,Ute-Southern Paiute,,,
Chemehuevi,Ute-Southern Paiute,,,
Takic,Northern Uto-Aztecan,,,
Serrano-Gabrielino,Takic,,,
Serrano,Serrano-Gabrielino,,,
Gabrielino-Fernandeño,Serrano-Gabrielino,,,
Cupan,Takic,,,
Cahuilla,Cupan,,,
Cupeño,Cupan,,,
Luiseño-Juaneño,Cupan,,,
Hopi,Northern Uto-Aztecan,,,
Tubatulabal,Northern Uto-Aztecan,,,
Southern Uto-Aztecan,Proto-Uto-Aztecan,,,
Tepiman,Southern Uto-Aztecan,,,
O'odham (Pima-Papago),Tepiman,,,
Pima,O'odham (Pima-Papago),,,
Papago (Tohono O'odham),O'odham (Pima-Papago),,,
Tepehuán,Tepiman,,,
Northern Tepehuán,Tepehuán,,,
Southern Tepehuán,Tepehuán,,,
Tepecano,Tepiman,,,
Tarahumaran,Southern Uto-Aztecan,,,
Tarahumara (Rarámuri),Tarahumaran,,,
Guarijío,Tarahumaran,,,
Corachol,Southern Uto-Aztecan,,,
Cora,Corachol,,,
Huichol,Corachol,,,
Nahuan,Southern Uto-Aztecan,,,
Nahuatl,Nahuan,Oto-Manguean; Mayan,Spanish,Spanish; Otomi
Classical Nahuatl,Nahuatl,,,
Modern Nahuatl varieties,Classical Nahuatl,,,
Central Nahuatl,Modern Nahuatl varieties,,,
Eastern Nahuatl,Modern Nahuatl varieties,,,
Western Nahuatl,Modern Nahuatl varieties,,,
Huasteca Nahuatl,Modern Nahuatl varieties,,,
Pochutec,Nahuan,,,
Pipil,Nahuan,,,
Mayan,Amerind (hypothetical),,,
Proto-Mayan,Mayan,,,
Huastecan,Proto-Mayan,,,
Huastec,Huastecan,,,
Chicomuceltec,Huastecan,,,
Yucatecan,Proto-Mayan,,,
Yucatec Maya,Yucatecan,,,
Lacandon,Yucatecan,,,
Itza',Yucatecan,,,
Mopan,Yucatecan,,,
Western Mayan,Proto-Mayan,,,
Cholan-Tzeltalan,Western Mayan,,,
Cholan,Cholan-Tzeltalan,,,
Ch'ol,Cholan,,,
Chontal,Cholan,,,
Ch'orti',Cholan,,,
Tzeltalan,Cholan-Tzeltalan,,,
Tzeltal,Tzeltalan,,,
Tzotzil,Tzeltalan,,,
Kanjobalan-Chujean,Western Mayan,,,
Kanjobalan,Kanjobalan-Chujean,,,
Q'anjob'al,Kanjobalan,,,
Akateko,Kanjobalan,,,
Jakaltek,Kanjobalan,,,
Chujean,Kanjobalan-Chujean,,,
Chuj,Chujean,,,
Tojolab'al,Chujean,,,
Eastern Mayan,Proto-Mayan,,,
Mamean,Eastern Mayan,,,
Mam,Mamean,,,
Tektitek,Mamean,,,
Ixil,Mamean,,,
Awakatek,Mamean,,,
Greater Quichean,Eastern Mayan,,,
K'iche',Greater Quichean,,,
Kaqchikel,Greater Quichean,,,
Tz'utujil,Greater Quichean,,,
Sakapultek,Greater Quichean,,,
Sipakapense,Greater Quichean,,,
Uspantek,Greater Quichean,,,
Q'eqchi',Eastern Mayan,,,
Poqomchi',Eastern Mayan,,,
Poqomam,Eastern Mayan,,,
Oto-Manguean,Amerind (hypothetical),,,
Proto-Oto-Manguean,Oto-Manguean,,,
Western Oto-Manguean,Proto-Oto-Manguean,,,
Oto-Pamean,Western Oto-Manguean,,,
Otomian,Oto-Pamean,,,
Otomi,Otomian,,,
Mazahua,Otomian,,,
Matlatzinca-Ocuiltec,Otomian,,,
Pamean,Oto-Pamean,,,
Northern Pame,Pamean,,,
Central Pame,Pamean,,,
Southern Pame,Pamean,,,
Chichimeca Jonaz,Oto-Pamean,,,
Chinantecan,Western Oto-Manguean,,,
Chinantec,Chinantecan,,,
Tlapanecan-Manguean,Western Oto-Manguean,,,
Tlapanec (Me'phaa),Tlapanecan-Manguean,,,
Mangue-Chiapanec,Tlapanecan-Manguean,,,
Eastern Oto-Manguean,Proto-Oto-Manguean,,,
Popolocan,Eastern Oto-Manguean,,,
Popoloca,Popolocan,,,
Chocho,Popolocan,,,
Ixcatec,Popolocan,,,
Mazatecan,Eastern Oto-Manguean,,,
Mazatec,Mazatecan,,,
Zapotecan,Eastern Oto-Manguean,,,
Zapotec,Zapotecan,,,
Valley Zapotec,Zapotec,,,
Isthmus Zapotec,Zapotec,,,
Chatino,Zapotecan,,,
Mixtecan,Eastern Oto-Manguean,,,
Mixtec,Mixtecan,,,
Cuicatec,Mixtecan,,,
Triqui,Mixtecan,,,
Amuzgo,Eastern Oto-Manguean,,,
Chibchan,Amerind (hypothetical),,,
Proto-Chibchan,Chibchan,,,
Chibchan proper,Proto-Chibchan,,,
Muisca (Chibcha),Chibchan proper,,,
Arhuacic,Chibchan proper,,,
Kogi,Arhuacic,,,
Ika,Arhuacic,,,
Damana,Arhuacic,,,
Wiwa,Arhuacic,,,
Tunebo,Chibchan proper,,,
Barí,Chibchan proper,,,
Guaymí,Proto-Chibchan,,,
Kuna,Proto-Chibchan,,,
Paya,Proto-Chibchan,,,
Rama,Proto-Chibchan,,,
Chibchan languages of Costa Rica,Proto-Chibchan,,,
Bribri,Chibchan languages of Costa Rica,,,
Cabécar,Chibchan languages of Costa Rica,,,
Boruca,Chibchan languages of Costa Rica,,,
Quechuan,Amerind (hypothetical),,,
Proto-Quechua,Quechuan,,,
Quechua I (Central Quechua),Proto-Quechua,,,
Ancash Quechua,Quechua I (Central Quechua),,,
Huaylas,Ancash Quechua,,,
Conchucos,Ancash Quechua,,,
Huánuco Quechua,Quechua I (Central Quechua),,,
Quechua II (Peripheral Quechua),Proto-Quechua,,,
Quechua II-A (Yungay),Quechua II (Peripheral Quechua),,,
Cajamarca Quechua,Quechua II-A (Yungay),,,
Lambayeque Quechua,Quechua II-A (Yungay),,,
Quechua II-B (Chinchay),Quechua II (Peripheral Quechua),,,
Ayacucho Quechua,Quechua II-B (Chinchay),,,
Cusco Quechua,Quechua II-B (Chinchay),,,
Puno Quechua,Quechua II-B (Chinchay),,,
Bolivian Quechua,Quechua II-B (Chinchay),,,
Cochabamba Quechua,Bolivian Quechua,,,
Ecuador Quechua,Quechua II-B (Chinchay),,,
Imbabura Quechua,Ecuador Quechua,,,
Chimborazo Quechua,Ecuador Quechua,,,
Colombian Quechua,Quechua II-B (Chinchay),,,
Argentine Quechua (Santiago del Estero),Quechua II-B (Chinchay),,,
Quechua II-C (South Peruvian),Quechua II (Peripheral Quechua),,,
Arequipa-La Unión Quechua,Quechua II-C (South Peruvian),,,
Aymaran,Amerind (hypothetical),,,
Proto-Aymaran,Aymaran,,,
